id,minN,minE,maxN,maxE,byteOffset,vertexCount
2275,6218096,493326,6244594,501688,5902400,888
2276,6435780,516308,6451604,530380,5909504,235
2277,6229094,518446,6246538,530260,5911384,591
2278,6475072,544160,6483098,552050,5916112,432
2279,6214592,524106,6221108,532496,5919568,64
2280,6482420,577070,6489820,583382,5920080,276
2281,6215392,473592,6229242,479274,5922288,356
2282,6430760,582128,6453680,613672,5925136,465
2283,6437934,485196,6454080,496042,5928856,669
2283,6444274,495126,6444386,495224,5934208,5
2284,6219888,525666,6233200,532560,5934248,197
2285,6356912,381732,6372878,395516,5935824,968
2286,6249184,536316,6252678,539698,5943568,111
2286,6232256,528850,6248792,538456,5944456,730
2287,6416362,499206,6432290,512264,5950296,715
2288,6246204,522760,6250232,525198,5956016,131
2288,6247928,512660,6261866,531264,5957064,1039
2289,6438696,530376,6452270,548142,5965376,259
2290,6365984,355902,6381258,370586,5967448,969
2291,6424560,397852,6430764,403890,5975200,178
2292,6221238,481734,6226476,485570,5976624,212
2293,6498730,336096,6513024,350160,5978320,686
2293,6507598,347860,6507928,348694,5983808,18
2294,6384340,416784,6396700,423934,5983952,236
2294,6385134,419110,6385240,419254,5985840,15
2295,6519520,329878,6533212,344476,5985960,603
2295,6517468,332242,6518892,333558,5990784,49
2296,6404912,350404,6414744,360192,5991176,113
2297,6325174,344488,6330682,350872,5992080,135
2298,6283980,381730,6302372,397286,5993160,1029
2299,6319462,356996,6326400,368546,6001392,371
2300,6302236,359976,6312974,371926,6004360,494
2300,6303448,361664,6304106,362192,6008312,39
2301,6313602,353486,6320064,357908,6008624,121
2302,6308452,359152,6318176,373252,6009592,710
2302,6315340,361182,6315598,361450,6015272,24
2302,6315470,361858,6315690,361992,6015464,17
2303,6168952,410176,6177766,417980,6015600,242
2304,6498808,513539,6523086,528900,6017536,332
2305,6225938,519058,6236417,523858,6020192,489
2305,6219160,513514,6225726,520602,6024104,67
2305,6236554,521432,6236902,522200,6024640,31
2306,6217978,500740,6246314,512600,6024888,691
2307,6405480,521250,6430516,536742,6030416,784
2307,6405172,532232,6405474,532378,6036688,26
2308,6241454,503064,6256752,516108,6036896,951
2309,6481406,575854,6485262,579110,6044504,209
2310,6223194,540902,6225084,541882,6046176,24
2310,6226524,541302,6227408,541762,6046368,24
2310,6233968,544658,6234148,544896,6046560,23
2310,6227380,537892,6252834,551770,6046744,1111
2310,6233110,542482,6234846,543670,6055632,9
2310,6231410,540614,6232260,541322,6055704,36
2311,6461556,512088,6467788,516536,6055992,271
2312,6395316,513826,6409744,532968,6058160,949
2313,6458846,482214,6468242,492518,6065752,258
2314,6402834,507016,6416668,523596,6067816,486
2315,6328730,424824,6343164,433398,6071704,721
2316,6387314,463168,6398886,474026,6077472,878
2317,6642488,688744,6656422,705886,6084496,204
2318,6397404,479214,6407800,498170,6086128,965
2319,6300538,393394,6313814,404702,6093848,547
2320,6590106,668786,6600852,678500,6098224,138
2321,6562456,681152,6576108,697936,6099328,101
2323,6373982,507706,6388748,520714,6100136,831
2324,6557068,641986,6563062,653690,6106784,92
2325,6176018,409832,6183530,424944,6107520,308
2326,6555970,631330,6570690,645420,6109984,179
2327,6317746,427312,6328730,434754,6111416,199
2328,6401944,476164,6412434,488908,6113008,745
2329,6506846,656954,6532760,673632,6118968,46
2330,6137846,403380,6144586,409850,6119336,185
2330,6143502,404604,6143538,404658,6120816,5
2330,6138404,402662,6138858,402966,6120856,7
2331,6137244,393698,6137638,393778,6120912,8
2331,6137160,395034,6137432,395188,6120976,6
2331,6133362,394330,6135762,398068,6121024,63
2331,6134520,391208,6134938,391456,6121528,5
2332,6354160,502270,6364608,510548,6121568,335
2333,6185486,399074,6189000,402754,6124248,93
2333,6189642,399870,6192216,402128,6124992,50
2334,6181835,415672,6188804,428448,6125392,255
2335,6172742,416452,6178308,423036,6127432,182
2336,6137878,394048,6142934,397852,6128888,86
2337,6192894,385922,6196760,388706,6129576,29
2338,6146540,380476,6150076,384742,6129808,135
2339,6182482,387508,6188016,392632,6130888,185
2340,6343668,491046,6353004,502642,6132368,461
2341,6344886,405188,6363920,416124,6136056,1213
2341,6350326,413214,6351816,414812,6145760,9
2342,6369628,437600,6389406,454242,6145832,1115
2343,6334590,394170,6335182,394836,6154752,12
2343,6335274,389918,6350478,401888,6154848,772
2343,6337934,395934,6338218,396112,6161024,18
2343,6337290,395876,6337448,396018,6161168,13
2344,6363342,469508,6378462,481148,6161272,1001
2345,6405978,488054,6413204,496862,6169280,507
2346,6331592,417794,6345936,427604,6173336,571
2347,6398068,423436,6413210,441790,6177904,959
2348,6145262,408700,6145502,408922,6185576,18
2348,6145360,408520,6145600,408668,6185720,5
2348,6145394,408450,6145610,408582,6185760,5
2348,6143012,406828,6149832,411676,6185800,171
2348,6145164,408412,6145380,408614,6187168,10
2348,6145256,408116,6145518,408456,6187248,14
2349,6452320,354428,6462670,368044,6187360,1103
2349,6459544,363916,6459842,364294,6196184,19
2350,6191726,365354,6197140,369090,6196336,49
2351,6347332,396512,6354358,404774,6196728,359
2352,6372312,429794,6391108,441920,6199600,932
2353,6143112,399212,6145672,402542,6207056,50
2354,6477080,368378,6485974,374222,6207456,235
2354,6471518,354434,6472824,356450,6209336,6
2355,6144222,425588,6148488,428358,6209384,58
2356,6456818,440334,6464588,447002,6209848,551
2356,6459338,444516,6459688,444800,6214256,30
2356,6459054,444558,6459280,444770,6214496,28
2357,6134422,397558,6134834,397962,6214720,8
2357,6135258,396892,6139264,399156,6214784,32
2358,6505946,446602,6506354,447210,6215040,28
2358,6507144,443230,6517098,457252,6215264,439
2358,6508956,455030,6509222,455316,6218776,27
2358,6510026,452588,6510344,452816,6218992,11
2358,6509630,452716,6509752,452882,6219080,7
2358,6509912,454544,6510106,454656,6219136,9
2358,6508626,454718,6508726,454804,6219208,6
2358,6512356,456128,6512764,456286,6219256,6
2358,6507466,444894,6507836,445300,6219304,8
2358,6508584,453344,6509098,453922,6219368,12
2358,6506492,446950,6507162,447696,6219464,21
2359,6189770,417864,6197106,427232,6219632,486
2360,6495982,408672,6510272,420870,6223520,465
2360,6496828,416730,6497168,417008,6227240,18
2361,6141672,422612,6145330,431752,6227384,95
2362,6469866,435608,6475798,441534,6228144,584
2363,6140236,382480,6144322,384990,6232816,69
2364,6438822,398820,6446406,405300,6233368,362
2365,6141846,401598,6145608,404410,6236264,90
2366,6138642,379012,6141736,382570,6236984,111
2367,6462752,350184,6473288,363554,6237872,379
2367,6468128,352066,6468686,352610,6240904,66
2367,6470028,351724,6470560,352204,6241432,61
2367,6468002,352300,6468096,352634,6241920,10
2368,6488356,436660,6494660,441688,6242000,71
2368,6485718,445392,6486970,446438,6242568,53
2368,6483388,447252,6484212,448478,6242992,23
2368,6484904,445296,6485820,446918,6243176,29
2368,6483628,445392,6484302,447212,6243408,59
2368,6484322,445816,6484538,446094,6243880,17
2368,6486924,445396,6487072,445566,6244016,11
2368,6491480,442808,6491550,442904,6244104,5
2368,6486590,445490,6486708,445604,6244144,6
2368,6486630,445388,6486756,445504,6244192,7
2368,6486478,445362,6486568,445470,6244248,10
2369,6370738,487162,6385040,499994,6244328,835
2370,6377564,514796,6386194,526400,6251008,554
2371,6386700,446526,6400784,455358,6255440,611
2372,6385186,469656,6401220,480848,6260328,1048
2373,6408662,441380,6416434,450020,6268712,897
2374,6397570,495148,6417902,507774,6275888,786
2375,6192806,387940,6198234,391710,6282176,91
2376,6385850,430826,6402594,442678,6282904,1417
2377,6465212,366488,6470732,370974,6294240,121
2378,6343236,411430,6357458,422774,6295208,571
2378,6350326,413214,6351816,414812,6299776,9
2379,6140634,410036,6145682,415014,6299848,204
2380,6357218,510410,6372400,529986,6301480,1067
2381,6419570,416130,6428820,424734,6310016,188
2381,6422776,417684,6423690,418540,6311520,24
2382,6148366,381954,6153384,387604,6311712,249
2383,6154078,366250,6156512,375666,6313704,124
2384,6183140,369408,6188748,379610,6314696,358
2385,6445050,412376,6451306,418664,6317560,128
2386,6447010,364010,6455480,376248,6318584,337
2386,6446938,365864,6447664,366372,6321280,15
2387,6149232,379436,6153374,385008,6321400,157
2387,6150398,381696,6150846,382050,6322656,20
2387,6150628,382282,6150766,382408,6322816,7
2388,6515374,437242,6524532,442956,6322872,183
2389,6181850,383016,6184648,387432,6324336,151
2389,6182398,384096,6182466,384206,6325544,8
2389,6178830,386958,6179250,388900,6325608,7
2390,6446586,372728,6453380,379096,6325664,157
2390,6450406,377214,6450924,377726,6326920,8
2391,6143980,385022,6149920,389404,6326984,131
2392,6486050,448030,6498192,455638,6328032,278
2392,6485908,451860,6486132,451984,6330256,10
2393,6178524,410114,6184924,418778,6330336,89
2394,6491952,426142,6494748,429282,6331048,111
2394,6492430,427960,6492600,428166,6331936,8
2394,6494614,431770,6500274,437898,6332000,177
2395,6375094,471842,6385632,482788,6333416,671
2396,6422004,476012,6440000,486142,6338784,765
2397,6454484,513934,6467834,521750,6344904,379
2398,6489102,581570,6502406,590522,6347936,460
2398,6500694,581920,6501254,582540,6351616,63
2398,6489098,589638,6489282,589880,6352120,11
2399,6480494,543960,6486738,551220,6352208,179
2400,6464148,560538,6478390,575512,6353640,217
2401,6478256,589166,6488846,599652,6355376,627
2401,6486306,590188,6487092,590726,6360392,19
2401,6479942,594870,6480442,595246,6360544,8
2401,6479836,596048,6479986,596184,6360608,10
2402,6488990,587978,6500914,600978,6360688,438
2402,6489210,589652,6489384,589918,6364192,11
2402,6493662,598778,6494892,600144,6364280,97
2402,6494282,598578,6494380,598670,6365056,9
2402,6493892,599390,6494068,599618,6365128,11
2403,6493274,426750,6500516,432830,6365216,187
2403,6501358,427738,6501968,428318,6366712,16
2403,6500528,427360,6500772,427602,6366840,13
2404,6479274,540024,6486396,546352,6366944,208
2405,6474040,426098,6474734,426668,6368608,40
2405,6465434,413660,6466380,415702,6368928,22
2405,6473602,415880,6478872,425238,6369104,210
2405,6478060,421374,6478442,421658,6370784,7
2405,6480498,424912,6480788,425154,6370840,24
2405,6476566,426022,6477194,426766,6371032,19
2406,6425074,593404,6440444,607538,6371184,247
2407,6458540,434154,6464622,442070,6373160,240
2408,6310886,338312,6321680,346588,6375080,178
2409,6313970,345350,6324554,357920,6376504,670
2410,6613394,593816,6622232,601608,6381864,204
2410,6621208,594100,6621398,594218,6383496,4
2410,6618440,595976,6618850,596222,6383528,6
2411,6332428,324610,6342968,340208,6383576,353
2412,6579848,564638,6592730,574178,6386400,198
2413,6356168,326684,6362830,333326,6387984,76
2414,6618440,595976,6618850,596222,6388592,6
2414,6621208,594100,6621398,594218,6388640,4
2414,6613014,589802,6625676,595802,6388672,302
2414,6622808,594384,6622948,594478,6391088,6
2416,6599336,570536,6605402,577684,6391136,264
2417,6323338,352652,6332894,358272,6393248,384
2418,6338966,356726,6340256,357702,6396320,42
2418,6340530,356374,6347122,363234,6396656,392
2419,6603498,566760,6616318,574796,6399792,211
2420,6289944,360936,6299758,373118,6401480,605
2420,6293862,367000,6294084,367328,6406320,23
2420,6293466,371876,6293670,372030,6406504,17
2421,6612932,555730,6625780,563136,6406640,83
2421,6614212,563228,6625808,573768,6407304,138
2421,6611260,560930,6612214,561794,6408408,9
2422,6614818,572288,6625808,585832,6408480,178
2423,6356868,351146,6357324,351464,6409904,19
2423,6350952,350042,6358542,358152,6410056,262
2424,6467796,551398,6478164,562892,6412152,296
2425,6469548,483144,6469623,483220,6414520,6
2425,6474114,485360,6479408,492412,6414568,84
2426,6456024,481890,6456332,482542,6415240,33
2426,6439456,470934,6458232,483058,6415504,460
2426,6453870,480060,6455314,481264,6419184,27
2427,6477180,514372,6482922,519740,6419400,202
2428,7174908,739482,7221512,803246,6421016,292
2429,7128268,773896,7159120,802314,6423352,80
2430,7180748,677184,7237920,747392,6423992,179
2431,7038012,687270,7090680,741334,6425424,909
2432,7211986,647922,7270836,705798,6432696,443
2433,7141656,782842,7174860,819412,6436240,63
2434,7124860,619376,7239248,704684,6436744,342
2435,7064874,733544,7131426,771098,6439480,330
2435,7103638,741477,7105047,742876,6442120,5
2437,6621076,523656,6646760,545680,6442160,870
2437,6632980,524454,6633568,525084,6449120,15
2438,7202802,714746,7259748,767460,6449240,157
2438,7258054,731648,7259698,734040,6450496,9
2439,6321130,367414,6331486,382836,6450568,712
2440,7039322,730348,7086236,756160,6456264,469
2441,6263206,391716,6263256,391794,6460016,8
2441,6257384,390276,6278906,405532,6460080,586
2442,6620930,592534,6629362,600330,6464768,251
2442,6622808,594384,6622948,594478,6466776,6
2443,6318732,380254,6328332,386468,6466824,335
2444,6344850,349538,6352206,362160,6469504,576
2444,6345020,352206,6345058,352282,6474112,7
2446,6591106,571338,6600680,588682,6474168,67
2447,6359116,337452,6364926,343458,6474704,154
2448,6630122,582360,6630200,582472,6475936,14
2448,6615154,582330,6634390,591944,6476048,356
2448,6630346,583566,6630584,584206,6478896,9
2449,6328812,336688,6334048,342172,6478968,42
2450,6620222,552734,6641952,572616,6479304,204
2451,6602090,547180,6619874,559854,6480936,441
2451,6619874,556051,6621488,556328,6484464,6
2452,6287238,364774,6297128,373514,6484512,419
2452,6289754,368126,6290120,368280,6487864,26
2452,6293466,371876,6293670,372030,6488072,17
2453,6249728,389856,6259374,405494,6488208,275
2454,6653606,595470,6657076,596256,6490408,29
2454,6635806,590824,6653054,600786,6490640,599
2455,7062088,784364,7062760,785156,6495432,12
2455,7063816,783736,7092204,797384,6495528,12
2456,7093836,640392,7145274,684772,6495624,155
2457,7092874,485970,7206408,595132,6496864,1142
2458,7106616,691246,7190588,751908,6506000,247
2458,7157858,733244,7161008,737080,6507976,8
2459,7200244,763370,7245604,809044,6508040,111
2460,7093298,756324,7147930,793906,6508928,107
2461,7157858,733244,7161008,737080,6509784,8
2461,7142218,703746,7193660,788882,6509848,187
2462,6252674,379692,6252852,379868,6511344,15
2462,6247312,373366,6256922,379788,6511464,283
2463,6647250,538000,6672736,564678,6513728,455
2464,7168150,780026,7188164,812532,6517368,157
2465,6283952,354120,6294938,364900,6518624,148
2465,6293594,355408,6293640,355484,6519808,5
2466,6656686,614694,6663066,618314,6519848,51
2466,6661084,616448,6661354,616868,6520256,41
2466,6660656,616762,6660988,616876,6520584,12
2466,6661858,615736,6662084,615898,6520680,20
2466,6662886,615520,6663004,615694,6520840,17
2466,6661102,616132,6661190,616242,6520976,23
2466,6662810,615354,6662924,615408,6521160,12
2466,6662714,615358,6662798,615430,6521256,23
2466,6661650,602986,6661808,603176,6521440,21
2466,6660970,595198,6685088,616292,6521608,544
2466,6673194,613340,6673404,613518,6525960,10
2466,6673088,613448,6673176,613650,6526040,9
2467,7074674,664493,7124186,722354,6526112,591
2468,6366728,322866,6375046,329040,6530840,214
2469,6652112,577030,6674360,597052,6532552,288
2470,6590846,557036,6614042,569930,6534856,531
2471,6277038,365916,6288220,371940,6539104,226
2472,6333384,339208,6337086,343354,6540912,93
2473,6585186,538836,6600998,547192,6541656,321
2474,7448796,814992,7583174,887984,6544224,2383
2474,7444982,884396,7448512,887372,6563288,8
2475,7244288,804934,7246420,808948,6563352,8
2475,7242902,714434,7289604,826496,6563416,230
2475,7258054,731648,7259698,734040,6565256,9
2475,7236554,809746,7243368,823056,6565328,17
2475,7206527,794856,7214103,803038,6565464,11
2476,7065142,758960,7080024,772818,6565552,23
2477,6989280,605782,7020474,620636,6565736,172
2478,6836130,611852,6836818,612762,6567112,7
2478,6833892,606628,6860534,628028,6567168,174
2478,6821000,621510,6831940,632370,6568560,16
2478,6843810,631836,6847414,635270,6568688,7
2479,6762440,549820,6812458,584692,6568744,209
2479,6817420,587396,6822196,590860,6570416,222
2480,6684906,505264,6722676,531040,6572192,583
2480,6702478,527024,6703544,529044,6576856,53
2480,6707976,529574,6708044,529636,6577280,8
2481,6652356,500878,6681892,513604,6577344,159
2482,6670258,536418,6693280,563594,6578616,379
2482,6687042,560434,6687570,560850,6581648,27
2482,6686982,559688,6688384,560374,6581864,16
