id,name
1,"Torne lappmark"
2,"Norrbotten"
3,"Lule lappmark"
4,"Pite lappmark"
5,"Lycksele lappmark"
6,"Åsele lappmark"
7,"Ångermanland"
8,"Västerbotten"
9,"Härjedalen"
10,"Medelpad"
11,"Jämtland"
12,"Hälsingland"
13,"Dalarna"
14,"Gästrikland"
15,"Uppland"
16,"Värmland"
17,"Västmanland"
18,"Närke"
19,"Södermanland"
20,"Dalsland"
21,"Gotland"
22,"Östergötland"
23,"Bohusländ"
24,"Halland"
25,"Öland"
26,"Blekinge"
27,"Skåne"
28,"Småland"
29,"Västergötland"
